deputy_id,receipt_id,classifier,confidence,reason
204379,despesa_unknown_8800da4abd31d2d,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_2cbbd9b80b218dd,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_2cbbd9b80b218dd,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_2cbbd9b80b218dd,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_a67d84d6ac4714b,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_fa4f55cfc38e2f2,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_746f6a4b5439755,WeekendHolidayClassifier,0.55,"Gasto de R$ 571.27 em 'PASSAGEM AÉREA - SIGEPA' em fim de semana (2023-01-15, Sunday)"
204379,despesa_unknown_746f6a4b5439755,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_746f6a4b5439755,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_5c08a08813e135e,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_e59a10e1e2e804d,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
204379,despesa_unknown_cc77a9fb95482a6,BenfordLawClassifier,0.85,A distribuição matemática dos gastos quebra a Lei de Benford. Isto indica provável digitação manual de valores fictícios nas notas fiscais.
