deputy_id,receipt_id,classifier,confidence,reason
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,WeekendHolidayClassifier,0.55,"Gasto de R$ 1014.01 em 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR' em fim de semana (2022-04-16, Saturday)"
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,WeekendHolidayClassifier,0.55,"Gasto de R$ 1009.09 em 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR' em fim de semana (2022-07-16, Saturday)"
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,ElectionPeriodClassifier,0.4,Gasto de R$ 413.71 em 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR' durante período eleitoral (2022-08-18). Monitoramento de rotina.
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,ElectionPeriodClassifier,0.4,Gasto de R$ 1300.79 em 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR' durante período eleitoral (2022-09-16). Monitoramento de rotina.
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,ElectionPeriodClassifier,0.4,Gasto de R$ 102.53 em 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR' durante período eleitoral (2022-10-18). Monitoramento de rotina.
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_5607320356050395401,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
62881,ceap_2022__62881_4806806480396519464,BenfordLawClassifier,0.85,"Distribuição de dígitos dos gastos deste deputado viola a Lei de Benford (χ²=205.24, limiar=15.51). Pode indicar manipulação de valores."
